Date,Flooding_Phase,Month,G.Size
09/02/2024,BF,February,3
09/02/2024,BF,February,2
09/02/2024,BF,February,3
09/02/2024,BF,February,1
09/02/2024,BF,February,5
09/02/2024,BF,February,3
09/02/2024,BF,February,2.8
09/02/2024,BF,February,3.8
09/02/2024,BF,February,3.9
09/02/2024,BF,February,3.5
09/02/2024,BF,February,3.2
09/02/2024,BF,February,2.4
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2.5
09/02/2024,BF,February,3.8
09/02/2024,BF,February,3.5
09/02/2024,BF,February,2
09/02/2024,BF,February,2.4
09/02/2024,BF,February,2.9
09/02/2024,BF,February,2.9
09/02/2024,BF,February,3
09/02/2024,BF,February,3.1
09/02/2024,BF,February,2
09/02/2024,BF,February,2.8
09/02/2024,BF,February,2.9
09/02/2024,BF,February,2.1
09/02/2024,BF,February,2.8
09/02/2024,BF,February,2.7
09/02/2024,BF,February,2.3
09/02/2024,BF,February,1.5
09/02/2024,BF,February,1.5
09/02/2024,BF,February,3.4
09/02/2024,BF,February,3.6
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2
09/02/2024,BF,February,2
09/02/2024,BF,February,3
09/02/2024,BF,February,3.3
09/02/2024,BF,February,4.4
09/02/2024,BF,February,3.6
09/02/2024,BF,February,3
09/02/2024,BF,February,5.2
09/02/2024,BF,February,2
09/02/2024,BF,February,2
09/02/2024,BF,February,2.5
09/02/2024,BF,February,3
09/02/2024,BF,February,3.2
09/02/2024,BF,February,3
09/02/2024,BF,February,2.6
09/02/2024,BF,February,3
09/02/2024,BF,February,2.2
09/02/2024,BF,February,2
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2.5
09/02/2024,BF,February,3.5
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2.4
09/02/2024,BF,February,4
09/02/2024,BF,February,3
09/02/2024,BF,February,3.3
09/02/2024,BF,February,2.3
09/02/2024,BF,February,3.3
09/02/2024,BF,February,2.2
09/02/2024,BF,February,3.2
09/02/2024,BF,February,3.4
09/02/2024,BF,February,3
09/02/2024,BF,February,2.8
09/02/2024,BF,February,1.5
09/02/2024,BF,February,2.3
09/02/2024,BF,February,2.3
09/02/2024,BF,February,2.8
09/02/2024,BF,February,2.6
09/02/2024,BF,February,2
09/02/2024,BF,February,2.2
09/02/2024,BF,February,2
09/02/2024,BF,February,2
09/02/2024,BF,February,3
09/02/2024,BF,February,2.6
09/02/2024,BF,February,4.2
12/02/2024,DF,February,3
12/02/2024,DF,February,3.2
12/02/2024,DF,February,3.5
12/02/2024,DF,February,3.4
12/02/2024,DF,February,3
12/02/2024,DF,February,3.3
12/02/2024,DF,February,2.8
12/02/2024,DF,February,2
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.6
12/02/2024,DF,February,3.2
12/02/2024,DF,February,3.3
12/02/2024,DF,February,3.2
12/02/2024,DF,February,2.2
12/02/2024,DF,February,3.5
12/02/2024,DF,February,2.9
12/02/2024,DF,February,3
12/02/2024,DF,February,2.5
12/02/2024,DF,February,1.5
12/02/2024,DF,February,3.2
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.2
12/02/2024,DF,February,3
12/02/2024,DF,February,2.9
12/02/2024,DF,February,2
12/02/2024,DF,February,3
12/02/2024,DF,February,2.5
12/02/2024,DF,February,3.2
12/02/2024,DF,February,2.1
12/02/2024,DF,February,4
12/02/2024,DF,February,2
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.2
12/02/2024,DF,February,3.4
12/02/2024,DF,February,2.6
12/02/2024,DF,February,2.1
12/02/2024,DF,February,2
12/02/2024,DF,February,3.2
12/02/2024,DF,February,3.8
12/02/2024,DF,February,2.1
12/02/2024,DF,February,3
12/02/2024,DF,February,1.4
12/02/2024,DF,February,4.3
12/02/2024,DF,February,3
12/02/2024,DF,February,1.9
12/02/2024,DF,February,3.2
12/02/2024,DF,February,3
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2.2
12/02/2024,DF,February,1.7
12/02/2024,DF,February,3.9
12/02/2024,DF,February,2.1
