Date,AM_HighTide,PM _HighTide,Floodheight
01/02/2024,7.34,6.96,8.3
02/02/2024,7.02,6.65,8.3
03/02/2024,6.67,6.37,8.3
04/02/2024,6.455,6.38,8.3
05/02/2024,6.24,6.31,8.3
06/02/2024,6.44,6.59,8.3
07/02/2024,6.94,7.1,8.3
08/02/2024,7.55,7.67,8.3
09/02/2024,8.15,8.18,8.3
10/02/2024,8.64,8.55,8.3
11/02/2024,8.98,8.74,8.3
12/02/2024,9.11,8.72,8.3
13/02/2024,9.01,8.51,8.3
14/02/2024,8.7,8.12,8.3
15/02/2024,8.19,7.61,8.3
16/02/2024,7.56,7.05,8.3
17/02/2024,6.91,6.72,8.3
18/02/2024,6.53,6.39,8.3
19/02/2024,6.27,6.25,8.3
20/02/2024,6.46,6.54,8.3
21/02/2024,6.92,6.99,8.3
22/02/2024,7.38,7.38,8.3
23/02/2024,7.74,7.68,8.3
24/02/2024,7.97,7.87,8.3
25/02/2024,8.11,7.96,8.3
26/02/2024,8.16,7.98,8.3
27/02/2024,8.13,7.92,8.3
28/02/2024,8.03,7.79,8.3
29/02/2024,7.83,7.56,8.3
01/03/2024,7.56,7.27,8.3
02/03/2024,7.2,6.91,8.3
03/03/2024,6.78,6.51,8.3
04/03/2024,6.34,6.3,8.3
05/03/2024,6.19,6.09,8.3
06/03/2024,6.28,6.39,8.3
07/03/2024,6.85,7.04,8.3
08/03/2024,7.59,7.74,8.3
09/03/2024,8.29,8.34,8.3
10/03/2024,8.84,8.75,8.3
11/03/2024,9.18,8.95,8.3
12/03/2024,9.27,8.91,8.3
13/03/2024,9.09,8.66,8.3
14/03/2024,8.68,8.22,8.3
15/03/2024,8.07,7.64,8.3
16/03/2024,7.36,7.01,8.3
17/03/2024,6.64,6.42,8.3
18/03/2024,6.36,6.06,8.3
19/03/2024,6.08,5.96,8.3
20/03/2024,6.31,6.36,8.3
21/03/2024,6.82,6.88,8.3
22/03/2024,7.3,7.33,8.3
23/03/2024,7.68,7.66,8.3
24/03/2024,7.93,7.89,8.3
25/03/2024,8.08,8.02,8.3
26/03/2024,8.16,8.08,8.3
27/03/2024,8.15,8.06,8.3
28/03/2024,8.07,7.95,8.3
29/03/2024,7.89,7.75,8.3
30/03/2024,7.62,7.45,8.3
31/03/2024,7.25,7.08,8.3
01/04/2024,6.8,6.65,8.3
02/04/2024,6.555,6.34,8.3
03/04/2024,6.31,6.12,8.3
04/04/2024,6.41,6.47,8.3
05/04/2024,7,7.14,8.3
06/04/2024,7.72,7.82,8.3
07/04/2024,8.37,8.38,8.3
08/04/2024,8.83,8.74,8.3
09/04/2024,9.08,8.89,8.3
10/04/2024,9.08,8.83,8.3
11/04/2024,8.84,8.57,8.3
12/04/2024,8.4,8.14,8.3
13/04/2024,7.81,7.59,8.3
14/04/2024,7.14,7,8.3
15/04/2024,6.49,6.5,8.3
16/04/2024,6.46,6,8.3
17/04/2024,6.15,5.92,8.3
18/04/2024,6.3,6.27,8.3
19/04/2024,6.71,6.74,8.3
20/04/2024,7.14,7.17,8.3
21/04/2024,7.49,7.52,8.3
22/04/2024,7.75,7.78,8.3
23/04/2024,7.92,7.95,8.3
24/04/2024,8.02,8.05,8.3
25/04/2024,8.04,8.07,8.3
26/04/2024,7.98,7.99,8.3
27/04/2024,7.83,7.82,8.3
28/04/2024,7.58,7.35,8.3
29/04/2024,7.23,7.2,8.3
30/04/2024,6.83,6.85,8.3
01/05/2024,6.735,6.48,8.3
02/05/2024,6.64,6.4,8.3
03/05/2024,6.78,6.71,8.3
04/05/2024,7.24,7.23,8.3
05/05/2024,7.77,7.76,8.3
06/05/2024,8.23,8.19,8.3
07/05/2024,8.54,8.47,8.3
08/05/2024,8.67,8.58,8.3
09/05/2024,8.62,8.52,8.3
10/05/2024,8.39,8.31,8.3
11/05/2024,8.02,7.97,8.3
12/05/2024,7.55,7.54,8.3
13/05/2024,7.04,7.09,8.3
14/05/2024,6.57,6.68,8.3
15/05/2024,6.49,6.21,8.3
16/05/2024,6.41,6.07,8.3
17/05/2024,6.38,6.21,8.3
18/05/2024,6.59,6.53,8.3
19/05/2024,6.88,6.9,8.3
20/05/2024,7.18,7.24,8.3
21/05/2024,7.44,7.53,8.3
22/05/2024,7.64,7.76,8.3
23/05/2024,7.78,7.92,8.3
24/05/2024,7.86,8,8.3
25/05/2024,7.85,7.99,8.3
26/05/2024,7.77,7.88,8.3
27/05/2024,7.59,7.7,8.3
28/05/2024,7.34,7.47,8.3
29/05/2024,7.08,7.26,8.3
30/05/2024,7.11,6.86,8.3
31/05/2024,7.14,6.79,8.3
01/06/2024,7.18,6.92,8.3
02/06/2024,7.36,7.19,8.3
03/06/2024,7.62,7.51,8.3
04/06/2024,7.85,7.81,8.3
05/06/2024,8.02,8.02,8.3
06/06/2024,8.1,8.15,8.3
07/06/2024,8.07,8.16,8.3
08/06/2024,7.95,8.06,8.3
09/06/2024,7.74,7.87,8.3
10/06/2024,7.46,7.61,8.3
11/06/2024,7.15,7.31,8.3
12/06/2024,6.84,7.02,8.3
13/06/2024,6.57,6.69,8.3
14/06/2024,6.77,6.36,8.3
15/06/2024,6.59,6.28,8.3
16/06/2024,6.53,6.36,8.3
17/06/2024,6.62,6.59,8.3
18/06/2024,6.81,6.9,8.3
19/06/2024,7.05,7.22,8.3
20/06/2024,7.3,7.53,8.3
21/06/2024,7.53,7.79,8.3
22/06/2024,7.72,7.99,8.3
23/06/2024,7.84,8.1,8.3
24/06/2024,7.88,8.14,8.3
25/06/2024,7.84,8.09,8.3
26/06/2024,7.72,7.97,8.3
27/06/2024,7.53,7.8,8.3
